ubigeo,department,province,district,total_populated_centers,matched_centers,unmatched_centers,coverage_share,mean_distance_km,median_distance_km,p90_distance_km,max_distance_km,share_over_10km,share_over_20km,share_over_30km,coverage_component,distance_component,remote_tail_component,q2_settlement_access_score,q2_access_level,rank_best_to_worst,rank_worst_to_best
070102,CALLAO,CALLAO,BELLAVISTA,1.0,1.0,0.0,1.0,0.15175132678692077,0.15175132678692077,0.15175132678692077,0.15175132678692077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Very high availability,1,1871
150121,LIMA,LIMA,PUEBLO LIBRE,1.0,1.0,0.0,1.0,0.2229230877962696,0.2229230877962696,0.2229230877962696,0.2229230877962696,0.0,0.0,0.0,1.0,0.9888814355184097,1.0,0.9922170048628867,Very high availability,2,1870
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,1.0,1.0,0.0,1.0,0.47016196888111056,0.47016196888111056,0.47016196888111056,0.47016196888111056,0.0,0.0,0.0,1.0,0.9547380742594627,1.0,0.9683166519816238,Very high availability,3,1869
150120,LIMA,LIMA,MAGDALENA DEL MAR,1.0,1.0,0.0,1.0,0.4837297466763857,0.4837297466763857,0.4837297466763857,0.4837297466763857,0.0,0.0,0.0,1.0,0.9530346132498675,1.0,0.9671242292749072,Very high availability,4,1868
150128,LIMA,LIMA,RIMAC,1.0,1.0,0.0,1.0,0.5008193795776471,0.5008193795776471,0.5008193795776471,0.5008193795776471,0.0,0.0,0.0,1.0,0.9509110082447813,1.0,0.9656377057713468,Very high availability,5,1867
150122,LIMA,LIMA,MIRAFLORES,1.0,1.0,0.0,1.0,0.5220617107969155,0.5220617107969155,0.5220617107969155,0.5220617107969155,0.0,0.0,0.0,1.0,0.9483048351742133,1.0,0.9638133846219492,Very high availability,6,1866
130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,1.0,1.0,0.0,1.0,0.5806933977351947,0.5806933977351947,0.5806933977351947,0.5806933977351947,0.0,0.0,0.0,1.0,0.9412959074218279,1.0,0.9589071351952794,Very high availability,7,1865
150116,LIMA,LIMA,LINCE,1.0,1.0,0.0,1.0,0.5975203520602711,0.5975203520602711,0.5975203520602711,0.5975203520602711,0.0,0.0,0.0,1.0,0.9393323596879838,1.0,0.9575326517815885,Very high availability,8,1864
150142,LIMA,LIMA,VILLA EL SALVADOR,1.0,1.0,0.0,1.0,0.6137750142895653,0.6137750142895653,0.6137750142895653,0.6137750142895653,0.0,0.0,0.0,1.0,0.9374551343934063,1.0,0.9562185940753845,Very high availability,9,1863
150111,LIMA,LIMA,EL AGUSTINO,3.0,3.0,0.0,1.0,0.6093622305967171,0.6366448751090622,0.9410139436232465,1.0171062107517925,0.0,0.0,0.0,1.0,0.9348457010153854,1.0,0.9543919907107699,Very high availability,10,1862
150131,LIMA,LIMA,SAN ISIDRO,1.0,1.0,0.0,1.0,0.6540926740780957,0.6540926740780957,0.6540926740780957,0.6540926740780957,0.0,0.0,0.0,1.0,0.9328793254751393,1.0,0.9530155278325974,Very high availability,11,1861
040101,AREQUIPA,AREQUIPA,AREQUIPA,1.0,1.0,0.0,1.0,0.6541433504722787,0.6541433504722787,0.6541433504722787,0.6541433504722787,0.0,0.0,0.0,1.0,0.9328736444827055,1.0,0.9530115511378938,Very high availability,12,1860
040126,AREQUIPA,AREQUIPA,YANAHUARA,1.0,1.0,0.0,1.0,0.7261133684745763,0.7261133684745763,0.7261133684745763,0.7261133684745763,0.0,0.0,0.0,1.0,0.9249762732055336,1.0,0.9474833912438734,Very high availability,13,1859
150113,LIMA,LIMA,JESUS MARIA,1.0,1.0,0.0,1.0,0.7525951889284053,0.7525951889284053,0.7525951889284053,0.7525951889284053,0.0,0.0,0.0,1.0,0.9221529982712429,1.0,0.9455070987898699,Very high availability,14,1858
070101,CALLAO,CALLAO,CALLAO,7.0,7.0,0.0,1.0,1.3257342728911683,0.7867994948332891,3.2467996540276522,3.5412398435745276,0.0,0.0,0.0,1.0,0.9185688967758922,1.0,0.9429982277431244,Very high availability,15,1857
070104,CALLAO,CALLAO,LA PERLA,1.0,1.0,0.0,1.0,0.7997885821631985,0.7997885821631985,0.7997885821631985,0.7997885821631985,0.0,0.0,0.0,1.0,0.9172257792170693,1.0,0.9420580454519485,Very high availability,16,1856
150101,LIMA,LIMA,LIMA,1.0,1.0,0.0,1.0,0.8243509115217436,0.8243509115217436,0.8243509115217436,0.8243509115217436,0.0,0.0,0.0,1.0,0.9147122364060497,1.0,0.9402985654842348,Very high availability,17,1855
150105,LIMA,LIMA,BREÃA,1.0,1.0,0.0,1.0,0.8456820866821636,0.8456820866821636,0.8456820866821636,0.8456820866821636,0.0,0.0,0.0,1.0,0.9125566536779384,1.0,0.9387896575745569,Very high availability,18,1854
150115,LIMA,LIMA,LA VICTORIA,1.0,1.0,0.0,1.0,0.8748176439424431,0.8748176439424431,0.8748176439424431,0.8748176439424431,0.0,0.0,0.0,1.0,0.9096523239418818,1.0,0.9367566267593173,Very high availability,19,1853
130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,1.0,1.0,0.0,1.0,0.8768260983788156,0.8768260983788156,0.8768260983788156,0.8768260983788156,0.0,0.0,0.0,1.0,0.909453780554966,1.0,0.9366176463884761,Very high availability,20,1852
